a	det. 一
ardour	n. 激情，热情
arduous	adj. 艰巨的，努力的，费力的
area	n. 地区，面积，领域
arena	n. 竞技场，场地，角斗场
argot	n. 黑话，行话
arguable	adj. 可论证的，可争辩的
argue	v. 争论，辩论，争吵
argument	n. 争论，论点，理由，说理
arid	adj. 不毛的，干旱的
aright	adv. 正确地
arise	v. 起来，出现，起立，上升，发生
aristocracy	n. 贵族阶层
aristocrat	n. 贵族
aristocratic	adj. 贵族的
arithmetic	n. 算术，估计\nadj. 算术的
ark	n. 大平底船，方舟
arm	n. 手臂，扶手，臂，军种\nv. 武装，提供，武装起来
armada	n. 舰队，一大批
armament	n. 军备，军队
armature	n. 电枢，盔甲
armchair	n. 手扶椅，扶手椅，空想\nadj. 空想的
armistice	n. 停战
armour|armor	n. 盔甲，装甲
armoured|armored	adj. 装甲的
armourer|armorer	n. 军械士
arms	n. 武器
army	n. 军队，陆军
armyman	n. 军人
aroma	n. 芳香，风味
arose	arise的过去式
around	adv. 在周围，大约，兜着圈子\nprep. 环绕，在...各处
arouse	v. 唤醒，唤起，引起
arraign	v. 传讯，指责，提审
arrange	v. 整理，安排
arrangement	n. 安排，计划
arrant	adj. 彻底的
array	n. 军队，排列，部署\nv. 装扮，排列，打扮，配置
arrear	n. 欠款
arrears	n. 欠债，尾活
arrest	n. 逮捕，停止\nv. 逮捕，吸引
arrival	n. 到达，到货，到达者
arrive	v. 到达，达到，抵达，出生
arrogance	n. 傲慢
arrogant	adj. 傲慢的
arrogantly	adv. 傲慢地
arrogate	v. 僭称
arrow	n. 箭，箭头，箭号\nv. 箭一般地飞速行进
arse	n. 饭桶，屁股\nv. 游荡
arsehole	n. 屁眼
arsenal	n. 军火库，武库
arson	n. 放火
art	n. 艺术，技艺，美术
artefact	n. 人工制造品
arterial	adj. 动脉的，干线的
artery	n. 动脉，干线
artesian	n. 自流井
artful	adj. 狡猾的，巧妙的
arthritis	n. 关节炎
article	n. 文章，物品，冠词，契约，条款\nv. 列举，进行控告
articulate	v. 发音，讲话\nadj. 善于表达的
artifice	n. 奸计，狡诈
artificer	n. 发明者，技工
artificial	adj. 人造的，假的，人工的
artillery	n. 火炮，炮兵
artisan	n. 工匠
artist	n. 艺术家，能手
artiste	n. 能手，艺人
artistic	n. 艺术的\nadj. 艺术的，艺术家的
artistry	n. 艺术才能，艺术性
as	adv. 一样\nconj. 当...时，像...\nprep. 作为，当作，像
asbestos	n. 石棉
ascend	v. 登，上升，攀登，登高
ascendant	n. 星位，优势\nadj. 上升的，优势的
ascension	n. 上升，耶稣升天
ascent	n. 攀登，上升
ascertain	v. 查明，弄清
ascetic	n. 禁欲者，苦行者\nadj. 苦行的
ascribe	v. 归于，把...归属，把...归因
asean	n. (缩)东盟
asexual	adj. 无性的
ash	n. 灰，灰烬，灰灰2，撒灰于
ashamed	adj. 惭愧的，羞耻的
ashore	adv. 在岸上，上岸，向岸
ashtray	n. 烟灰缸
ashy	adj. 灰色的，像灰的
asia	n. 亚洲
asian	n. 亚洲人\nadj. 亚洲的
aside	n. 离题的话，旁白\nadv. 在旁边，搁在一边，离开，撇开
ask	v. 问，要求，邀请
askance	adv. 怀疑地，斜着眼睛
askew	adj. 错误的，歪斜地\nadv. 错，轻蔑地
aslant	adj. 倾斜的\nadv. 倾斜地\nprep. 倾斜地横在...上
asleep	adj. 睡着的，长眠的，麻木的
aspect	n. 容貌，方面，面貌
aspen	n. 山杨\nadj. 颤动的，山杨的
asperity	n. 粗暴，粗糙
aspersion	n. 诽谤，洒水
asphalt	n. 沥青，天然沥青\nv. 铺沥青于
asphyxia	n. 窒息
asphyxiate	v. 使窒息，窒息
aspirant	n. 有抱负的人\nadj. 渴望的
aspiration	n. 发送气音，热望，抱负
aspire	v. 渴望，追求，上升
aspirin	n. 阿斯匹林，阿司匹林
ass	n. 驴，愚蠢的人，傻瓜
assail	v. 攻击，质问
assassin	n. 暗杀者，诋毁者
assassinate	v. 暗杀
assassination	n. 暗杀
assassinator	n. 暗杀者
assault	n. 攻击，强奸\nv. 袭击，攻击，困扰
assay	n. 试金，试样\nv. 化验，试验
assemblage	n. 聚集
assemble	v. 集合，装配，收集
assembler	n. 汇编程序，装配工
assembly	n. 集合，装配，集会，与会者
assent	n. 同意\nv. 同意
assert	v. 断言，宣称，肯定地说，主张
assertion	n. 断言，主张
assess	v. 评定，估价，对...征税，进行评估
assessment	n. 估值，评价，估定，估价
assessor	n. 估价员，辅佐人
asset	n. 所有物，资产
asseverate	v. 郑重声明
assiduous	adj. 经常的，刻苦的
assign	n. 受让人\nv. 分配，指定
assignment	n. 任务，作业，分配
assimilate	v. 使同化，吸收
assist	n. 帮助\nv. 协助，帮助，促进
assistance	n. 协助，辅助，帮助，补助
assistant	n. 助手，助教
associate	n. 伙伴，准会员\nv. 联想，交往，联合\nadv. 副的
associated	adj. 联合的
association	n. 协会，合营
associative	adj. 联想的
assorted	adj. 各种各样的，分类的，相配的
assortment	n. 花色品种，材种，分类
assuage	v. 减轻，解...
assume	v. 假定，担任，呈现，承担
assumption	n. 假定，假装，担任
assurance	n. 自信，保证，把握
assure	v. 使..放心，向..保证，弄清楚，使确信
assured	adj. 感到放心的
asterisk	n. 星标，星状物\nv. 加星标于
astern	adv. 向后
asteroid	n. 海盘车，小行星\nadj. 海盘车的，星状的
asthma	n. 气喘
astir	adj. 动起来，起床
astonish	v. 使惊讶，使惊恐
astonishment	n. 惊讶
astound	v. 使惊讶
astray	adj. 离开正道\nadv. (信件)遗失、误传
astride	adj. 跨着\nadv. 跨着\nprep. 跨越，在...上
astrology	n. 占星术
astronaut	n. 宇宙飞行员，宇航员
astronomer	n. 天文学家
astronomical	adj. 天文学的
astronomy	n. 天文学
astute	adj. 狡猾的，敏锐的
asylum	n. 避难，避难所
asymmetric	adj. 不对称，非对称的
at	prep. 在，处于，以，向，在...里
atheist	n. 不敬神者，无神论者
athlete	n. 田径运动员，运动员
athletic	adj. 田径的，健壮的，体育的
atlantic	adj. 大西洋(的)
atlas	n. 地图集，地图册，寰椎
atmosphere	n. 大气，气氛，空气，大气层
atmospheric	adj. 大气的，空气的
atoll	n. 环状珊瑚岛
atom	n. 原子，微粒
atomic	adj. 原子的，原子能的
atomize	v. 使分化，使粉碎
atonal	adj. 无调性的
atone	v. 赎，和解，弥补
atrocious	adj. 凶恶的，糟透的
atrocity	n. 凶恶，残暴
attach	v. 附着于，依恋，系，附属
attache	n. 随员，专员
attachment	n. 依附，附件，爱慕，附属物，连接，喜欢
attack	n. 进攻，侵袭，攻击，侵蚀\nv. 攻击
attain	v. 赢得，到达，达到
attainment	n. 成就，达到
attempt	n. 尝试，企图，攻击\nv. 企图，引诱
attend	v. 出席，照顾，侍候
attendance	n. 出勤(率)，出席，侍候
attendant	n. 随从，服务员，出席者，侍从\nadj. 伴随的，出席的
attention	n. 注意，关心，考虑
attentive	adj. 注意的，关心的，殷勤的
attentively	adv. 关心地
attest	v. 证明
attic	n. 阁楼，顶楼
attire	n. 服装，鹿角\nv. 使穿衣
attitude	n. 态度，看法，姿势
attorney	n. 辩护律师，代理人，律师
attract	v. 吸引，引力，偷窃
attraction	n. 吸引，吸引力\nadj. 有吸引力的
attractive	adj. 有吸引力的
attributable	adj. 归于...的
attribute	n. 属性，标志，定语\nv. 属于，把...归因于，认为...属于
attribution	n. 属于
attributive	adj. 定语的，属性的
attrition	n. 磨擦，磨损
attune	v. 使合拍，协调
atypical	adj. 非典型的
aubergine	n. 茄子，紫红色
auburn	n. 赤褐色\nadj. 赤褐色的
auction	n. 拍卖，叫牌\nv. 叫牌
audacious	adj. 大胆的，鲁莽的
audible	adj. 听得见的
audience	n. 听众，观众，读者
audio	n. 音的播送，音频信号\nadj. 声音的，音频的
audit	n. 查帐\nv. 查，旁听
audition	n. 面试，听，试唱\nv. 试演
auditorium	n. 礼堂，会堂，听众席
auditory	adj. 听的
augment	n. 扩大，增音\nv. 补充，扩大
augur	n. 预言者，占卜官\nv. 预示，预言
augury	n. 预兆，占卜
august	n. 八月\nadj. 威严的
aunt	n. 伯(婶、姨、姑)母，阿姨，伯母
aura	n. 光环，气氛
aural	adj. 听觉的，耳的，光环的
auricle	n. 耳廓，心房
auspice	n. 赞助，主办
auspices	n. 赞助
auspicious	adj. 吉利的，兴隆的
austere	adj. 简朴的
australia	n. 澳大利亚
australian	adj. 澳大利亚的
authentic	adj. 可靠的，真的
author	n. 作者，创造者，发起人，著作者\nv. 发起，著作
authority	n. 权力，权威，当局，权
authorization	n. 授权
authorize|authorise	v. 授权，批准
auto	n. 汽车
autobahn	n. 高速公路
autobiography	n. 自传
autocracy	n. 独裁统治
autocrat	n. 独裁者
autocue	n. 电子提示机
autograph	n. 亲笔，亲笔稿\nv. 亲笔书写
autoimmune	adj. 自身免疫的
automat	n. 自动售货机
automate	v. 自动化，使自动化
automatic	n. 自动机械，自动手枪\nadj. 自动的，必然的
automation	n. 自动化，自动操作
automobile	n. 汽车\nv. 乘汽车
automotive	adj. 汽车的
autonomous	adj. 自治的
autonomy	n. 自治，人身自由
autopilot	n. 自动驾驶仪
autopsy	n. 分析，亲自勘察\nv. 解剖
autoroute	n. 高速公路
autumn	n. 秋天，成熟期，秋
auxiliary	n. 辅助者，机帆船\nadj. 辅助的，补助的，备用的
avail	n. 效用，利润\nv. 帮助，有用，有用于
availability	n. 可用性，可供货
available	adj. 可得到的，可获得的，在手边的
avalanche	n. 大量，雪崩\nv. 把...淹没，崩塌
avarice	n. 贪婪
avenge	v. 报复，报仇
avenue	n. 林荫道，途径，大街，小路
aver	v. 断言，证明...属实
average	n. 平均数，平均分数\nv. 平均做，平均为\nadj. 平均的，中等的
averagely	adv. 平均
averse	adj. 反对的
aversion	n. 讨厌的人，厌恶
aversive	adj. 厌恶的
avert	v. 挡开，转移
aviation	n. 航空，航空学
avid	adj. 渴望的
avionics	n. 航空电子学
avocation	n. 副业，消遣
avoid	v. 避免，逃避，避开
avow	v. 坦率承认
await	v. 等候，等待，侍候
awake	v. 醒来,醒悟，唤起，醒\nadj. 醒的，警觉的，醒着的
awaken	v. 唤起，醒\nadj. 醒着的
award	n. 奖，奖品，判决\nv. 授予，判给
aware	adj. 知道的，意识到的，懂事的
awareness	n. 意识到
away	adv. 去，远离，在远处，走吧，走开
awe	n. 威惧，敬畏，恐惧\nv. 使敬畏
awesome	adj. 可怕的
awful	adj. 令人畏惧的，使人畏惧的\nadv. 十分
awfully	adv. 可怕地，非常
awhile	adv. 片刻
awkward	adj. 笨拙的，不熟练的，不雅观的
awkwardly	adv. 笨拙地
awkwardness	n. 笨拙
awl	n. 钻子
awn	n. 芒
awoke	awake的过去式
awry	adj. 曲\nadv. 曲
ax	n. 斧子
axe	n. 斧，战斧\nv. 解雇，用斧砍断
axial	adj. 轴的，轴向的，成轴的
axiom	n. 格言，公理
axiomatic	adj. 格言的，公理的
axis	n. 轴，轴线，轴心，枢椎
axle	n. (轮)轴，轴
aye	n. 肯定的回答\nadv. 明白，是
azimuth	n. 方位，方位角
azure	n. 碧空，钴蓝\nadj. 青色的，无云的
b.c.	(缩)公元前
b/l	n. (缩)提单
baa	n. 咩\nv. 发咩声
babble	n. 儿语，胡言乱语\nv. 说蠢话，吐露秘密
babe	n. 宝贝儿，婴儿
baboon	n. 丑陋的人，狒狒
baby	n. 婴儿，年龄最小的人，幼畜\nv. 轻击
baby-sit	v. (替人)看护小孩
baby-sitter	n. 看护小孩的人
babyhood	n. 婴儿期
bachelor	n. 单身汉，学士，单身男子
back	n. 背，缸\nv. 使后退，后退\nadj. 背后的，边远的\nadv. 往回，向后
backache	n. 腰背酸痛
backbite	v. 背后说坏话
backbone	n. 脊梁骨，脊骨，主脊，主要成分
backdate	v. 回溯
backer	n. 赞助人，支持者
backfire	n. 逆火，迎火\nv. 发生逆火，发生意外
background	n. 背景，经历，底子，后景
backhander	n. 转弯抹角的攻击
backing	n. 倒退，支持物
backlog	n. 未交付的订货
backpedal	v. 出尔反尔，后退躲开
backside	n. 后侧，屁股
backslide	v. 堕落
backstreet	n. 穷街小巷
backstroke	n. 回击，仰泳
backtrack	v. 后退，取消
backup	n. 背衬，候补者，倒车
backward	adj. 向后的\nadv. 向后，逆
backwardness	n. 落后(状态)
backwards	adv. 往回，向后
backwash	n. 反流，激流区
backwater	n. 回水，死水
backwoods	n. 边远蛮荒林区
backyard	n. 后院
bacon	n. 咸肉，熏肉，熏咸肉，赃物
bacterium	n. 细菌
bad	adj. 坏的，低劣的，顽皮的
badge	n. 徽章，标记
badly	adv. 坏，非常，严重地，顽皮地
badminton	n. 羽毛球，羽毛球运动
baffle	n. 困惑\nv. 困扰，难倒，使困惑，使受挫折
bag	n. 袋子，提包，袋，猎袋\nv. 猎获，收割
baggage	n. 行李，包袱
baggy	adj. 袋状的，袋装的，鼓出的
bail	n. 保释，戽斗\nv. 保释，托付
bailiff	n. 法警，管家
bait	n. 饵，诱饵，打尖\nv. 引诱，装饵于
baize	n. 台面呢
bake	n. 烘，烤餐会\nv. 烤，烘，晒热
bakelite	n. 酚醛塑料
baker	n. 面包师，面包师傅，轻便烘炉
bakery	n. 面包店
balance	n. 平衡，天平，余额，平衡轮\nv. 称，权衡
balcony	n. 阳台
bald	v. 成为秃顶\nadj. 秃的，明显的，秃头的
balderdash	n. 胡言乱语
bale	n. 大包，悲愁\nv. 把...打成大包
balk	n. 挫折，埂\nv. 错过，阻止
ball	n. 球，球状物，舞会\nv. 交媾，狂欢
ball-point pen	n. 圆珠笔
ballad	n. 叙事诗歌，歌谣
ballast	n. 压舱物，镇重物\nv. 给...铺道渣，使稳定
ballerina	n. 软底低跟女便鞋，女芭蕾舞演员
ballet	n. 芭蕾舞，芭蕾舞团
ballistics	n. 弹道特性，弹道学
balloon	n. 气球，气球形物\nv. 大大增加
ballooning	n. 热气球飞行运动
ballot	n. 投票表决，投票权\nv. 抽签选拔，投票
ballroom	n. 舞厅
ballyhoo	n. 大吹大擂，喧闹\nv. 大吹大擂
balm	n. 安慰，香膏，香油
balmy	adj. 芬芳的，温和的
balsam	n. 香膏，香脂
balustrade	n. 矮护墙，栏杆
bamboo	n. 竹，竹竿\nadj. 疯狂的，竹的
bamboo-shoot	n. 竹笋
bamboozle	v. 迷惑，欺骗
ban	n. 禁止，谴责\nv. 禁止，诅咒
banana	n. 香蕉，香蕉味
band	n. 乐队，带子，群，箍\nv. 联合，聚集
bandage	n. 绷带，带子\nv. 用绷带扎缚
bandit	n. 盗匪，歹徒，强盗
bandwagon	n. 得势派，乐队彩车
bandwidth	n. 带宽
bandy	adj. 向外弯的
bane	n. 毒药，灾害，祸根\nv. 危害
bang	n. 轰声，巨响\nv. 砰的一响，奔，猛击\nadv. 砰，砰然
bangle	n. 手镯
banish	v. 放逐，开除
banisters	n. 栏杆
banjo	n. 班卓琴，铲子
bank	n. 岸，银行，堆\nv. 开银行，做庄家
bankbook	n. 银行存折
banker	n. 银行家，庄家，坐庄
banking	n. 银行业务、金融业
bankrupt	n. 破产者\nv. ,adj.破产，使枯竭，使破产\nadj. 破产的
bankruptcy	n. 彻底失败，破产
bannal	n. 陈旧，平庸
banner	n. 旗帜，横幅，旗\nadj. 显著的
banns	n. 结婚公告
banquet	n. 宴会\nv. 设宴款待，赴宴
bantam	n. 矮脚鸡\nadj. 青少年的，轻的
banter	n. 取笑\nv. 欺骗，取笑
baptism	n. 浸礼，洗礼
baptize	v. 为...命名，施浸礼
bar	n. 棒，杆，酒吧，条，闩\nv. 关，闩\nprep. 除...外
barb	n. 倒钩，非洲马\nv. 在...装倒钩，刈
barbarian	n. 未开化的人\nadj. 不文明的，异邦的
barbarity	n. 野蛮，野蛮行为
barbarous	adj. 残暴的，粗野的
barbecue	n. 烤全牲，烤肉\nv. 烤炙，整烤
barber	n. 理发师\nv. 剪短，饶舌
bare	v. 揭露，使赤裸\nadj. 裸的，直率的，赤裸的，光秃的
barefaced	adj. 厚颜无耻的
barely	adv. 赤裸裸地，公开地，仅仅
bargain	n. 交易，便宜货，协定\nv. 用...交换，讲价
barge	n. 驳船，专用艇\nv. 闯出，专撞
baritone	n. 男中音\nadj. 男中音的
barium	n. 钡
bark	n. 狗吠，树皮，吠声\nv. 吠，咳嗽
barley	n. 大麦
barmaid	n. 酒吧间女招待
barman	n. 酒吧间男招待
barn	n. 谷仓，牲口棚，靶
barnacle	n. 难以摆脱的人，藤壶
barometer	n. 晴雨表，标记，气压表
baron	n. 男爵，贵族，巨商
baroness	n. 男爵夫人，女男爵
baronet	n. 准男爵
barque	n. 吠叫
barrack	n. 棚屋，营房\nv. 大声鼓噪
barrage	n. 复赛，火力网，拦河坝\nv. 开火
barred	adj. 被禁止的，上了闩的
barrel	n. 桶，枪(炮)管，圆筒\nv. 把...装桶，装枪管于
barren	n. 瘠地\nadj. 不育的，贫瘠的
barricade	n. 路障，栅栏\nv. 使躲在路障后面
barrier	n. 障碍，壁垒，界线
barrister	n. 律师，专门律师
barrow	n. 坟，手推车
barter	n. 易货贸易，易货贸货\nv. 讨价还价
base	n. 基础，基地，基\nv. 基于，驻扎，作...的基础\nadj. 基础的，卑劣的
baseball	n. 棒球，棒球运动
baseline	n. 底线，基线
basement	n. 地下室，地窖，墙根
bash	n. 尝试，猛击\nv. 猛击，当妓女
bashful	adj. 局促不安的
basic	n. 初学者通用符号指令码，基本训练，基本原理\nadj. 基本的，基础的，碱的
basically	adv. 基本上，主要地
basin	n. 盆，盆地，菜盆
basis	n. 基础，根据，主要部分
bask	v. 感到舒适，晒太阳
basket	n. 篮子，筐，篮，篮状物
basketball	n. 篮球，篮球运动
bass	n. 椴树\nadj. 低沉的，低音的
